                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9775,                 3.6544,                 2.0762,                0.37938,                0.23126,                0.22102,                0.13735,                 2.0997,                 2.9554,                 2.3059,               0.070079,              0.0033245,              0.0033245
                      2,                 1.8662,                 2.7113,                 1.9153,                0.50206,                0.23557,                0.22694,                0.13698,                 2.1518,                 2.9851,                 2.3913,                0.03978,              0.0063582,              0.0063582
                      3,                 1.8982,                 2.7216,                 1.9424,                0.28619,                0.26189,                0.21218,                0.11887,                 2.2344,                 3.0692,                 2.4163,              0.0091802,               0.009092,               0.009092
                      4,                 1.9677,                 2.8465,                 2.0166,                0.34922,                0.18565,                0.17827,                0.09449,                 2.2514,                 3.3461,                 2.4696,                0.00865,                0.00865,                0.00865
                      5,                  1.925,                 2.7807,                 1.9947,                0.39875,                0.26264,                 0.2621,                0.14471,                 2.1438,                 2.7913,                 2.3448,                 0.0082,                 0.0082,                 0.0082
                      6,                 1.8836,                 2.6851,                 1.9648,                0.30726,                0.31037,                0.26729,                0.14053,                 2.1214,                 2.7738,                 2.3176,                0.00775,                0.00775,                0.00775
                      7,                 1.8641,                 2.6153,                 1.9513,                0.28209,                0.27747,                0.25264,                0.14965,                 2.1694,                 2.8693,                 2.3379,                 0.0073,                 0.0073,                 0.0073
                      8,                 1.8357,                 2.5234,                 1.9267,                0.34195,                0.33451,                0.31776,                0.17391,                 2.0821,                 2.5713,                 2.3055,                0.00685,                0.00685,                0.00685
                      9,                 1.7918,                 2.4301,                 1.8905,                 0.4535,                0.32442,                 0.3458,                0.19133,                 2.0288,                 2.4767,                 2.2244,                 0.0064,                 0.0064,                 0.0064
                     10,                 1.7733,                 2.3609,                 1.8635,                0.34177,                0.36016,                0.34448,                0.19597,                 2.0264,                 2.4503,                 2.1902,                0.00595,                0.00595,                0.00595
                     11,                 1.8428,                 2.3464,                 2.0195,                0.38686,                0.39245,                0.36642,                 0.2015,                 1.9951,                 2.3803,                 2.1598,                 0.0055,                 0.0055,                 0.0055
                     12,                 1.7946,                 2.2201,                 1.9796,                0.40286,                0.37928,                0.36961,                0.21041,                 1.9813,                 2.3712,                  2.189,                0.00505,                0.00505,                0.00505
                     13,                 1.7591,                 2.1339,                 1.9501,                0.46088,                0.43736,                0.40738,                0.23957,                 1.9223,                 2.2298,                   2.12,                 0.0046,                 0.0046,                 0.0046
                     14,                 1.7236,                 2.0316,                 1.9168,                0.45037,                0.45382,                0.40903,                0.24089,                 1.9228,                 2.2033,                 2.1028,                0.00415,                0.00415,                0.00415
                     15,                 1.6957,                 1.9638,                 1.8931,                0.50651,                0.44571,                0.43682,                0.25488,                 1.9039,                 2.1767,                 2.0958,                 0.0037,                 0.0037,                 0.0037
                     16,                 1.6642,                 1.8684,                  1.859,                 0.4534,                0.49552,                0.45015,                0.26812,                   1.88,                 2.1107,                 2.0677,                0.00325,                0.00325,                0.00325
                     17,                 1.6311,                 1.8009,                 1.8261,                0.53072,                0.48743,                0.46603,                0.27675,                 1.8792,                 2.0265,                 2.0581,                 0.0028,                 0.0028,                 0.0028
                     18,                  1.593,                 1.6967,                 1.7945,                0.52982,                0.47442,                0.47005,                 0.2783,                 1.8663,                 2.0414,                 2.0463,                0.00235,                0.00235,                0.00235
                     19,                 1.5514,                 1.6117,                 1.7513,                0.55577,                0.51463,                  0.519,                0.30067,                 1.8711,                 1.9688,                  2.058,                 0.0019,                 0.0019,                 0.0019
                     20,                 1.5216,                 1.5366,                 1.7222,                0.56812,                0.51224,                0.50473,                 0.3013,                 1.8664,                 1.9533,                 2.0345,                0.00145,                0.00145,                0.00145
